;Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas, ESP, 2024;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;Janeiro ;;;Total;;
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;350945 Campina do Monte Alegre;1;0;0;1;0;0
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350950 Campinas;3.937;2.774;9;3937;2774;9
7;Campinas;XVII;CAMPINAS;35073;JUNDIAÍ;350960 Campo Limpo Paulista;35;11;0;35;11;0
17;Taubaté;XXXIII;TAUBATÉ;35174;V. PARAÍBA-REG. SERRANA;350970 Campos do Jordão;19;0;6;19;0;6
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;350980 Campos Novos Paulista;0;0;0;0;0;0
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;350990 Cananéia;13;1;0;13;1;0
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350995 Canas;9;0;0;9;0;0
9;Marília;XIII;ASSIS;35092;ASSIS;351000 Cândido Mota;79;17;2;79;17;2
3;Araraquara;XII;ARARAQUARA;35033;NORTE DO DRS III;351010 Cândido Rodrigues;2;1;0;2;1;0
9;Marília;XIII;ASSIS;35094;OURINHOS;351015 Canitar;4;0;1;4;0;1
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;351020 Capão Bonito;21;0;1;21;0;1
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;351030 Capela do Alto;32;1;1;32;1;1
10;Piracicaba;XX;PIRACICABA;35103;PIRACICABA;351040 Capivari;208;91;1;208;91;1
17;Taubaté;XXVIII;CARAGUATATUBA;35173;LITORAL NORTE;351050 Caraguatatuba;948;93;0;948;93;0
1;São Paulo;X;OSASCO;35014;ROTA DOS BANDEIRANTES;351060 Carapicuíba;89;20;0;89;20;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;351070 Cardoso;15;1;0;15;1;0
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35143;RIO PARDO;351080 Casa Branca;129;53;0;129;53;0
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;351090 Cássia dos Coqueiros;2;1;1;2;1;1
2;Araçatuba;XI;ARAÇATUBA;35022;LAGOS DO DRS II;351100 Castilho;27;5;0;27;5;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;351110 Catanduva;566;130;0;566;130;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;351120 Catiguá;16;9;0;16;9;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351130 Cedral;53;3;0;53;3;0
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;351140 Cerqueira César;3;0;2;3;0;2
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;351150 Cerquilho;30;1;5;30;1;5
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;351160 Cesário Lange;13;0;0;13;0;0
10;Piracicaba;XX;PIRACICABA;35103;PIRACICABA;351170 Charqueada;63;4;5;63;4;5
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;351190 Clementina;0;0;0;0;0;0
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;351200 Colina;290;132;1;290;132;1
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;351210 Colômbia;4;2;0;4;2;0
10;Piracicaba;XX;PIRACICABA;35101;ARARAS;351220 Conchal;15;2;0;15;2;0
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;351230 Conchas;18;2;1;18;2;1
10;Piracicaba;XX;PIRACICABA;35102;LIMEIRA;351240 Cordeirópolis;39;5;3;39;5;3
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;351250 Coroados;12;2;0;12;2;0
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;351260 Coronel Macedo;6;0;3;6;0;3
10;Piracicaba;XX;PIRACICABA;35104;RIO CLARO;351270 Corumbataí;1;0;0;1;0;0
